thin,id,thin2,journal,thin3,thin4,date,thin5,thin6
"NA","3672402","NA","soutnatu","NA","NA","2004-06-01T00:00:00Z ","","fla"
"NA","41057992","NA","biotropica","NA","NA","2011-06-01T00:00:00Z ","","fla"
"NA","40483050","NA","procnatiacadscie","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","43188731","NA","bryologist","NA","NA","2013-06-01T00:00:00Z ","","fla"
"NA","1369148","NA","condor","NA","NA","1996-06-01T00:00:00Z ","","fla"
"NA","43287358","NA","jherpetology","NA","NA","2013-06-01T00:00:00Z ","","fla"
"NA","3893590","NA","herpetologica","NA","NA","2006-06-01T00:00:00Z ","","fla"
"NA","4256113","NA","econbota","NA","NA","1998-06-01T00:00:00Z ","","fla"
"NA","20528883","NA","jecology","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","4257084","NA","econbota","NA","NA","2006-06-01T00:00:00Z ","","fla"
"NA","4090633","NA","auk","NA","NA","2006-06-01T00:00:00Z ","","fla"
"NA","40930611","NA","divedist","NA","NA","2010-06-01T00:00:00Z ","","fla"
"NA","23260102","NA","jmammalogy","NA","NA","2011-06-01T00:00:00Z ","","fla"
"NA","27715250","NA","jfielorni","NA","NA","2008-06-01T00:00:00Z ","","fla"
"NA","2845403","NA","jbiogeography","NA","NA","1991-06-01T00:00:00Z ","","fla"
"NA","41549472","NA","procbiolscie","NA","NA","2012-06-01T00:00:00Z ","","fla"
"NA","4498567","NA","jherpetology","NA","NA","2007-06-01T00:00:00Z ","","fla"
"NA","3449169","NA","evolution","NA","NA","2005-06-01T00:00:00Z ","","fla"
"NA","40058775","NA","jparasitology","NA","NA","2007-06-01T00:00:00Z ","","fla"
"NA","40157527","NA","ornithmono","NA","NA","1997-06-01T00:00:00Z ","","fla"
"NA","27784009","NA","evolution","NA","NA","2010-06-01T00:00:00Z ","","fla"
"NA","3285616","NA","jparasitology","NA","NA","1999-06-01T00:00:00Z ","","fla"
"NA","1370494","NA","condor","NA","NA","1997-06-01T00:00:00Z ","","fla"
"NA","40660759","NA","wateintejwatebio","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","1552522","NA","arctantaalpirese","NA","NA","2000-06-01T00:00:00Z ","","fla"
"NA","25209129","NA","herpetologica","NA","NA","2008-06-01T00:00:00Z ","","fla"
"NA","1540151","NA","biolbull","NA","NA","1973-06-01T00:00:00Z ","","fla"
"NA","4131120","NA","jfielorni","NA","NA","2003-06-01T00:00:00Z ","","fla"
"NA","3893611","NA","herpetologica","NA","NA","2003-06-01T00:00:00Z ","","fla"
"NA","23255789","NA","herpetologica","NA","NA","2012-06-01T00:00:00Z ","","fla"
"NA","2388554","NA","biotropica","NA","NA","1990-06-01T00:00:00Z ","","fla"
"NA","4283","NA","janimalecology","NA","NA","1980-06-01T00:00:00Z ","","fla"
"NA","1368921","NA","condor","NA","NA","1986-06-01T00:00:00Z ","","fla"
"NA","3071854","NA","ecology","NA","NA","2002-06-01T00:00:00Z ","","fla"
"NA","27715174","NA","jfielorni","NA","NA","2007-06-01T00:00:00Z ","","fla"
"NA","41760067","NA","selbyana","NA","NA","2000-06-01T00:00:00Z ","","fla"
"NA","29779550","NA","ecology","NA","NA","2010-06-01T00:00:00Z ","","fla"
"NA","3873019","NA","ursus","NA","NA","2003-06-01T00:00:00Z ","","fla"
"NA","20794592","NA","belgjbota","NA","NA","2006-06-01T00:00:00Z ","","fla"
"NA","41812300","NA","plantcell","NA","NA","2013-06-01T00:00:00Z ","","fla"
"NA","40235356","NA","oikos","NA","NA","2008-06-01T00:00:00Z ","","fla"
"NA","27733475","NA","americanjbotany","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","41239410","NA","globecolbiog","NA","NA","2011-06-01T00:00:00Z ","","fla"
"NA","40802557","NA","systematicbotany","NA","NA","2010-06-01T00:00:00Z ","","fla"
"NA","4255549","NA","econbota","NA","NA","1993-06-01T00:00:00Z ","","fla"
"NA","1370600","NA","condor","NA","NA","2003-06-01T00:00:00Z ","","fla"
"NA","2387299","NA","consbiol","NA","NA","1997-06-01T00:00:00Z ","","fla"
"NA","1383511","NA","jmammalogy","NA","NA","2002-06-01T00:00:00Z ","","fla"
"NA","25086382","NA","jkansentosoci","NA","NA","2007-06-01T00:00:00Z ","","fla"
"NA","20107808","NA","crustaceana","NA","NA","2007-06-01T00:00:00Z ","","fla"
"NA","3591104","NA","consbiol","NA","NA","2005-06-01T00:00:00Z ","","fla"
"NA","25436218","NA","procnatiacadscie","NA","NA","2007-06-01T00:00:00Z ","","fla"
"NA","41304055","NA","ursus","NA","NA","2011-06-01T00:00:00Z ","","fla"
"NA","1565838","NA","jherpetology","NA","NA","2003-06-01T00:00:00Z ","","fla"
"NA","3099904","NA","ecolappl","NA","NA","2003-06-01T00:00:00Z ","","fla"
"NA","3068703","NA","jtropicalecology","NA","NA","2002-06-01T00:00:00Z ","","fla"
"NA","23770807","NA","procnatiacadscie","NA","NA","2014-06-01T00:00:00Z ","","fla"
"NA","4255742","NA","econbota","NA","NA","1995-06-01T00:00:00Z ","","fla"
"NA","4132937","NA","biotropica","NA","NA","2002-06-01T00:00:00Z ","","fla"
"NA","20051296","NA","plantecology","NA","NA","2002-06-01T00:00:00Z ","","fla"
"NA","23251650","NA","jwildmana","NA","NA","2012-06-01T00:00:00Z ","","fla"
"NA","4162350","NA","wilsbull","NA","NA","1987-06-01T00:00:00Z ","","fla"
"NA","90001384","NA","mounresedeve","NA","NA","2017-06-01T00:00:00Z ","","fla"
"NA","40483681","NA","procnatiacadscie","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","4314532","NA","ambio","NA","NA","1996-06-01T00:00:00Z ","","fla"
"NA","3494803","NA","florento","NA","NA","1990-06-01T00:00:00Z ","","fla"
"NA","3659070","NA","ecosystems","NA","NA","2004-06-01T00:00:00Z ","","fla"
"NA","2419677","NA","systematicbotany","NA","NA","1997-06-01T00:00:00Z ","","fla"
"NA","2388026","NA","biotropica","NA","NA","1982-06-01T00:00:00Z ","","fla"
"NA","3095338","NA","consbiol","NA","NA","2002-06-01T00:00:00Z ","","fla"
"NA","41762172","NA","botmusleaharuni","NA","NA","1957-06-01T00:00:00Z ","","fla"
"NA","4221666","NA","oecologia","NA","NA","1997-06-01T00:00:00Z ","","fla"
"NA","40419197","NA","consbiol","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","20208757","NA","philtranbiolscie","NA","NA","2008-06-01T00:00:00Z ","","fla"
"NA","4084228","NA","auk","NA","NA","1972-06-01T00:00:00Z ","","fla"
"NA","3892957","NA","herpetologica","NA","NA","1996-06-01T00:00:00Z ","","fla"
"NA","24871072","NA","mariecolprogseri","NA","NA","2007-06-01T00:00:00Z ","","fla"
"NA","4090223","NA","auk","NA","NA","2002-06-01T00:00:00Z ","","fla"
"NA","1566139","NA","jherpetology","NA","NA","2003-06-01T00:00:00Z ","","fla"
"NA","4094400","NA","jmammalogy","NA","NA","2006-06-01T00:00:00Z ","","fla"
"NA","2402489","NA","jappliedecology","NA","NA","1981-06-01T00:00:00Z ","","fla"
"NA","24126867","NA","eurojhortscie","NA","NA","2013-06-01T00:00:00Z ","","fla"
"NA","30245338","NA","procbiolscie","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","1369757","NA","condor","NA","NA","1998-06-01T00:00:00Z ","","fla"
"NA","4256251","NA","econbota","NA","NA","2000-06-01T00:00:00Z ","","fla"
"NA","25450094","NA","procnatiacadscie","NA","NA","2007-06-01T00:00:00Z ","","fla"
"NA","24708859","NA","ambio","NA","NA","2013-06-01T00:00:00Z ","","fla"
"NA","2461281","NA","amernatu","NA","NA","1986-06-01T00:00:00Z ","","fla"
"NA","25623093","NA","jappliedecology","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","40062252","NA","ecolappl","NA","NA","2008-06-01T00:00:00Z ","","fla"
"NA","43494963","NA","ecology","NA","NA","2014-06-01T00:00:00Z ","","fla"
"NA","4152487","NA","procnatiacadscie","NA","NA","2005-06-01T00:00:00Z ","","fla"
"NA","23804995","NA","procnatiacadscie","NA","NA","2014-06-01T00:00:00Z ","","fla"
"NA","1368394","NA","condor","NA","NA","1990-06-01T00:00:00Z ","","fla"
"NA","41289807","NA","bryologist","NA","NA","2011-06-01T00:00:00Z ","","fla"
"NA","3094648","NA","evolution","NA","NA","2002-06-01T00:00:00Z ","","fla"
"NA","4132917","NA","biotropica","NA","NA","2002-06-01T00:00:00Z ","","fla"
"NA","41432464","NA","wateintejwatebio","NA","NA","2011-06-01T00:00:00Z ","","fla"
"NA","30045458","NA","biotropica","NA","NA","2008-06-01T00:00:00Z ","","fla"
"NA","30043127","NA","biotropica","NA","NA","2004-06-01T00:00:00Z ","","fla"
"NA","24717310","NA","jarachnology","NA","NA","2015-06-01T00:00:00Z ","","fla"
"NA","4603448","NA","humanecology","NA","NA","2002-06-01T00:00:00Z ","","fla"
"NA","3893629","NA","herpetologica","NA","NA","2005-06-01T00:00:00Z ","","fla"
"NA","3505369","NA","janimalecology","NA","NA","2003-06-01T00:00:00Z ","","fla"
"NA","3496847","NA","florento","NA","NA","2002-06-01T00:00:00Z ","","fla"
"NA","20519772","NA","biogeochemistry","NA","NA","2006-06-01T00:00:00Z ","","fla"
"NA","42952908","NA","plantandsoil","NA","NA","2013-06-01T00:00:00Z ","","fla"
"NA","2388508","NA","biotropica","NA","NA","1985-06-01T00:00:00Z ","","fla"
"NA","3893520","NA","herpetologica","NA","NA","2006-06-01T00:00:00Z ","","fla"
"NA","1566177","NA","jherpetology","NA","NA","2002-06-01T00:00:00Z ","","fla"
"NA","1541765","NA","biolbull","NA","NA","1990-06-01T00:00:00Z ","","fla"
"NA","24872794","NA","mariecolprogseri","NA","NA","2008-06-01T00:00:00Z ","","fla"
"NA","3554792","NA","jbiogeography","NA","NA","2004-06-01T00:00:00Z ","","fla"
"NA","25150882","NA","evolution","NA","NA","2008-06-01T00:00:00Z ","","fla"
"NA","20519824","NA","biogeochemistry","NA","NA","2006-06-01T00:00:00Z ","","fla"
"NA","1565606","NA","jherpetology","NA","NA","1997-06-01T00:00:00Z ","","fla"
"NA","4090524","NA","auk","NA","NA","2005-06-01T00:00:00Z ","","fla"
"NA","2419485","NA","systematicbotany","NA","NA","1992-06-01T00:00:00Z ","","fla"
"NA","4098976","NA","brittonia","NA","NA","2005-06-01T00:00:00Z ","","fla"
"NA","20146931","NA","plantecology","NA","NA","2006-06-01T00:00:00Z ","","fla"
"NA","40603304","NA","consbiol","NA","NA","2010-06-01T00:00:00Z ","","fla"
"NA","3893549","NA","herpetologica","NA","NA","2004-06-01T00:00:00Z ","","fla"
"NA","1369216","NA","condor","NA","NA","1992-06-01T00:00:00Z ","","fla"
"NA","27646029","NA","ecolmono","NA","NA","2006-06-01T00:00:00Z ","","fla"
"NA","1565763","NA","jherpetology","NA","NA","2004-06-01T00:00:00Z ","","fla"
"NA","1565762","NA","jherpetology","NA","NA","2004-06-01T00:00:00Z ","","fla"
"NA","4085313","NA","auk","NA","NA","1979-06-01T00:00:00Z ","","fla"
"NA","40891353","NA","biotropica","NA","NA","2010-06-01T00:00:00Z ","","fla"
"NA","4122804","NA","americanjbotany","NA","NA","2006-06-01T00:00:00Z ","","fla"
"NA","25639842","NA","americanfernj","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","41968356","NA","sidacontbota","NA","NA","2004-06-01T00:00:00Z ","","fla"
"NA","25064189","NA","systematicbotany","NA","NA","2006-06-01T00:00:00Z ","","fla"
"NA","2680219","NA","ecology","NA","NA","2001-06-01T00:00:00Z ","","fla"
"NA","3599587","NA","jecology","NA","NA","2004-06-01T00:00:00Z ","","fla"
"NA","4255439","NA","econbota","NA","NA","1992-06-01T00:00:00Z ","","fla"
"NA","25662904","NA","javianbiology","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","24874670","NA","mariecolprogseri","NA","NA","2011-06-01T00:00:00Z ","","fla"
"NA","3285546","NA","jparasitology","NA","NA","2002-06-01T00:00:00Z ","","fla"
"NA","41739619","NA","ecology","NA","NA","2012-06-01T00:00:00Z ","","fla"
"NA","41151190","NA","ecology","NA","NA","2011-06-01T00:00:00Z ","","fla"
"NA","20059871","NA","jparasitology","NA","NA","2005-06-01T00:00:00Z ","","fla"
"NA","25209130","NA","herpetologica","NA","NA","2008-06-01T00:00:00Z ","","fla"
"NA","4499099","NA","jtropicalecology","NA","NA","2007-06-01T00:00:00Z ","","fla"
"NA","3503897","NA","mammalianspecies","NA","NA","1983-06-01T00:00:00Z ","","fla"
"NA","43287327","NA","jherpetology","NA","NA","2013-06-01T00:00:00Z ","","fla"
"NA","41419472","NA","biotropica","NA","NA","2011-06-01T00:00:00Z ","","fla"
"NA","1552216","NA","arctantaalpirese","NA","NA","2001-06-01T00:00:00Z ","","fla"
"NA","1368480","NA","condor","NA","NA","1987-06-01T00:00:00Z ","","fla"
"NA","27751619","NA","jtropicalecology","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","4093022","NA","herpmono","NA","NA","2004-06-01T00:00:00Z ","","fla"
"NA","3100008","NA","ecolappl","NA","NA","2003-06-01T00:00:00Z ","","fla"
"NA","27756883","NA","taxon","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","3449350","NA","evolution","NA","NA","2004-06-01T00:00:00Z ","","fla"
"NA","23501469","NA","ecosystems","NA","NA","2013-06-01T00:00:00Z ","","fla"
"NA","27754319","NA","jecology","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","1447654","NA","copeia","NA","NA","1996-06-01T00:00:00Z ","","fla"
"NA","4064990","NA","procacadnatuscie","NA","NA","1994-06-01T00:00:00Z ","","fla"
"NA","41241896","NA","biotropica","NA","NA","2011-06-01T00:00:00Z ","","fla"
"NA","1565444","NA","jherpetology","NA","NA","1998-06-01T00:00:00Z ","","fla"
"NA","4161672","NA","wilsbull","NA","NA","1982-06-01T00:00:00Z ","","fla"
"NA","4123164","NA","americanjbotany","NA","NA","2007-06-01T00:00:00Z ","","fla"
"NA","90008364","NA","caldasia","NA","NA","2014-06-01T00:00:00Z ","","fla"
"NA","20110967","NA","bryologist","NA","NA","2008-06-01T00:00:00Z ","","fla"
"NA","4098993","NA","brittonia","NA","NA","2006-06-01T00:00:00Z ","","fla"
"NA","41239230","NA","funcecol","NA","NA","2011-06-01T00:00:00Z ","","fla"
"NA","40962286","NA","ursus","NA","NA","2010-06-01T00:00:00Z ","","fla"
"NA","286178","NA","amernatu","NA","NA","1998-06-01T00:00:00Z ","","fla"
"NA","4087615","NA","auk","NA","NA","1990-06-01T00:00:00Z ","","fla"
"NA","27742806","NA","biotropica","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","40506046","NA","procbiolscie","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","3873033","NA","ursus","NA","NA","2005-06-01T00:00:00Z ","","fla"
"NA","4096546","NA","condor","NA","NA","2005-06-01T00:00:00Z ","","fla"
"NA","23225187","NA","ecology","NA","NA","2012-06-01T00:00:00Z ","","fla"
"NA","4256742","NA","econbota","NA","NA","2003-06-01T00:00:00Z ","","fla"
"NA","41058537","NA","biotropica","NA","NA","2011-06-01T00:00:00Z ","","fla"
"NA","43188344","NA","ecolmono","NA","NA","2014-06-01T00:00:00Z ","","fla"
"NA","40208511","NA","jwildmana","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","24364115","NA","florento","NA","NA","2014-06-01T00:00:00Z ","","fla"
"NA","42796441","NA","annabota","NA","NA","2006-06-01T00:00:00Z ","","fla"
"NA","3893032","NA","herpetologica","NA","NA","1995-06-01T00:00:00Z ","","fla"
"NA","3893038","NA","herpetologica","NA","NA","1995-06-01T00:00:00Z ","","fla"
"NA","41408835","NA","botarevi","NA","NA","2011-06-01T00:00:00Z ","","fla"
"NA","4255604","NA","econbota","NA","NA","1994-06-01T00:00:00Z ","","fla"
"NA","90008049","NA","condor","NA","NA","2014-06-01T00:00:00Z ","","fla"
"NA","41486721","NA","bryologist","NA","NA","2011-06-01T00:00:00Z ","","fla"
"NA","3246880","NA","divedist","NA","NA","2004-06-01T00:00:00Z ","","fla"
"NA","43576238","NA","annabota","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","1540263","NA","biolbull","NA","NA","1971-06-01T00:00:00Z ","","fla"
"NA","4255550","NA","econbota","NA","NA","1993-06-01T00:00:00Z ","","fla"
"NA","3588999","NA","consbiol","NA","NA","2004-06-01T00:00:00Z ","","fla"
"NA","1444098","NA","copeia","NA","NA","1982-06-01T00:00:00Z ","","fla"
"NA","3226855","NA","invebiol","NA","NA","1998-06-01T00:00:00Z ","","fla"
"NA","24874487","NA","mariecolprogseri","NA","NA","2011-06-01T00:00:00Z ","","fla"
"NA","3762169","NA","mycologia","NA","NA","2004-06-01T00:00:00Z ","","fla"
"NA","4085850","NA","auk","NA","NA","1980-06-01T00:00:00Z ","","fla"
"NA","24575391","NA","jmammalogy","NA","NA","2013-06-01T00:00:00Z ","","fla"
"NA","3873075","NA","ursus","NA","NA","2004-06-01T00:00:00Z ","","fla"
"NA","40665237","NA","jtropicalecology","NA","NA","2010-06-01T00:00:00Z ","","fla"
"NA","1447936","NA","copeia","NA","NA","2002-06-01T00:00:00Z ","","fla"
"NA","41058217","NA","globecolbiog","NA","NA","2011-06-01T00:00:00Z ","","fla"
"NA","43596242","NA","jtropforescie","NA","NA","1991-06-01T00:00:00Z ","","fla"
"NA","24873960","NA","mariecolprogseri","NA","NA","2010-06-01T00:00:00Z ","","fla"
"NA","40603375","NA","consbiol","NA","NA","2010-06-01T00:00:00Z ","","fla"
"NA","20038329","NA","vegetatio","NA","NA","1988-06-01T00:00:00Z ","","fla"
"NA","4089106","NA","auk","NA","NA","1998-06-01T00:00:00Z ","","fla"
"NA","43594383","NA","jtropforescie","NA","NA","1990-06-01T00:00:00Z ","","fla"
"NA","40405764","NA","globecolbiog","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","1382707","NA","jmammalogy","NA","NA","1996-06-01T00:00:00Z ","","fla"
"NA","1469512","NA","biogeochemistry","NA","NA","2001-06-01T00:00:00Z ","","fla"
"NA","40645587","NA","biotropica","NA","NA","2010-06-01T00:00:00Z ","","fla"
"NA","27651364","NA","ecology","NA","NA","2007-06-01T00:00:00Z ","","fla"
"NA","4086061","NA","auk","NA","NA","1981-06-01T00:00:00Z ","","fla"
"NA","41760365","NA","selbyana","NA","NA","2010-06-01T00:00:00Z ","","fla"
"NA","24362429","NA","florento","NA","NA","2014-06-01T00:00:00Z ","","fla"
"NA","27639310","NA","jfielorni","NA","NA","2006-06-01T00:00:00Z ","","fla"
"NA","25172922","NA","jtropicalecology","NA","NA","2008-06-01T00:00:00Z ","","fla"
"NA","2388991","NA","biotropica","NA","NA","1995-06-01T00:00:00Z ","","fla"
"NA","40205458","NA","herpmono","NA","NA","2007-06-01T00:00:00Z ","","fla"
"NA","25790847","NA","jtropicalecology","NA","NA","2011-06-01T00:00:00Z ","","fla"
"NA","23254561","NA","herpetologica","NA","NA","2012-06-01T00:00:00Z ","","fla"
"NA","27715269","NA","jfielorni","NA","NA","2008-06-01T00:00:00Z ","","fla"
"NA","20059723","NA","jparasitology","NA","NA","2005-06-01T00:00:00Z ","","fla"
"NA","1383362","NA","jmammalogy","NA","NA","2000-06-01T00:00:00Z ","","fla"
"NA","25065900","NA","taxon","NA","NA","2007-06-01T00:00:00Z ","","fla"
"NA","23259352","NA","novon","NA","NA","2011-06-01T00:00:00Z ","","fla"
"NA","1541122","NA","biolbull","NA","NA","1978-06-01T00:00:00Z ","","fla"
"NA","20171948","NA","divedist","NA","NA","2008-06-01T00:00:00Z ","","fla"
"NA","3554809","NA","jbiogeography","NA","NA","2004-06-01T00:00:00Z ","","fla"
"NA","40306236","NA","evolution","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","4122545","NA","condor","NA","NA","2007-06-01T00:00:00Z ","","fla"
"NA","2846050","NA","jbiogeography","NA","NA","1996-06-01T00:00:00Z ","","fla"
"NA","3893517","NA","herpetologica","NA","NA","2006-06-01T00:00:00Z ","","fla"
"NA","1540381","NA","biolbull","NA","NA","1975-06-01T00:00:00Z ","","fla"
"NA","4126081","NA","americanjbotany","NA","NA","2005-06-01T00:00:00Z ","","fla"
"NA","3893408","NA","herpetologica","NA","NA","2000-06-01T00:00:00Z ","","fla"
"NA","23273909","NA","evolution","NA","NA","2012-06-01T00:00:00Z ","","fla"
"NA","40254810","NA","procnatiacadscie","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","3068790","NA","jtropicalecology","NA","NA","2001-06-01T00:00:00Z ","","fla"
"NA","40060565","NA","jherpetology","NA","NA","2008-06-01T00:00:00Z ","","fla"
"NA","40863821","NA","jcoasrese","NA","NA","2010-06-01T00:00:00Z ","","fla"
"NA","4514586","NA","jfielorni","NA","NA","2001-06-01T00:00:00Z ","","fla"
"NA","40983593","NA","jherpetology","NA","NA","2010-06-01T00:00:00Z ","","fla"
"NA","1521821","NA","colowate","NA","NA","1996-06-01T00:00:00Z ","","fla"
"NA","4098627","NA","copeia","NA","NA","2005-06-01T00:00:00Z ","","fla"
"NA","25145049","NA","jmammalogy","NA","NA","2007-06-01T00:00:00Z ","","fla"
"NA","3893198","NA","herpetologica","NA","NA","2002-06-01T00:00:00Z ","","fla"
"NA","1590929","NA","aviandiseases","NA","NA","1988-06-01T00:00:00Z ","","fla"
"NA","1552548","NA","arctantaalpirese","NA","NA","2001-06-01T00:00:00Z ","","fla"
"NA","20721440","NA","philtranbiolscie","NA","NA","2010-06-01T00:00:00Z ","","fla"
"NA","3673636","NA","mounresedeve","NA","NA","1993-06-01T00:00:00Z ","","fla"
"NA","4064937","NA","procacadnatuscie","NA","NA","1988-06-01T00:00:00Z ","","fla"
"NA","4009219","NA","colebull","NA","NA","1996-06-01T00:00:00Z ","","fla"
"NA","41830555","NA","procnatiacadscie","NA","NA","2012-06-01T00:00:00Z ","","fla"
"NA","20619228","NA","mycologia","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","4539978","NA","divedist","NA","NA","2007-06-01T00:00:00Z ","","fla"
"NA","25835614","NA","palaios","NA","NA","2011-06-01T00:00:00Z ","","fla"
"NA","25064264","NA","systematicbotany","NA","NA","2007-06-01T00:00:00Z ","","fla"
"NA","27646158","NA","ecolmono","NA","NA","2008-06-01T00:00:00Z ","","fla"
"NA","2403883","NA","jappliedecology","NA","NA","1987-06-01T00:00:00Z ","","fla"
"NA","4088500","NA","auk","NA","NA","1994-06-01T00:00:00Z ","","fla"
"NA","23609347","NA","florento","NA","NA","2013-06-01T00:00:00Z ","","fla"
"NA","25676707","NA","procbiolscie","NA","NA","2010-06-01T00:00:00Z ","","fla"
